0,1,2,3,4
13.665575,10.28765,7.549298,11.750731,7.418883
14.158858,10.544309,8.707998,10.505013,6.4370403
13.437377,9.070235,9.456609,11.538053,5.7592444
11.975235,9.323425,7.59297,11.103524,9.6770525
12.762404,12.263156,8.954925,10.1510515,8.326699
11.986581,9.271529,7.531232,11.035145,9.902948
12.619874,11.123133,7.486153,12.2332535,6.0635853
10.689922,9.689054,6.2563324,9.3585825,7.8434887
12.878229,11.3675165,7.836142,7.967616,9.172688
13.234681,11.20508,7.427317,11.596771,6.4040823
12.902632,12.259463,7.279595,10.81563,7.33217
14.152519,11.010592,7.505114,11.257505,7.4171877
14.10326,9.5012665,9.037735,11.011405,6.2166543
12.31601,11.640278,8.803812,9.019202,8.007182
13.125277,10.901862,9.487758,11.894056,5.7293406
14.88215,9.96958,9.677561,10.8303,6.3028307
10.749922,9.853611,6.2971783,9.48278,7.5359674
14.45729,9.3318405,8.955515,11.221504,6.408073
14.316687,9.749544,8.929295,10.709683,7.315716
11.748874,11.372227,9.053336,8.7249565,7.614916
10.657028,9.691504,6.2330365,9.317272,7.8113346
12.827161,10.861319,6.8179617,12.341593,6.3708844
12.585744,12.8923,9.286629,10.160541,9.100801
11.946964,11.216412,9.899813,9.764317,9.204711
13.347842,10.55522,9.363804,11.596875,5.611662
13.960685,11.078049,7.732124,10.818623,7.670803
10.973035,9.79589,6.503985,9.039252,7.8981147
10.6711,9.66166,6.265624,9.437983,7.8598075
10.688607,9.796882,6.228977,9.386718,7.5379252
12.6915,12.290404,8.749048,9.970717,8.65662
11.946277,11.224846,9.881479,9.773295,9.212919
12.587872,12.73771,9.165264,10.098843,8.984425
14.62703,9.91864,9.277965,10.846733,6.3926015
12.719898,12.303277,8.715367,9.999124,8.649364
11.743888,11.379998,9.131128,8.687732,7.5902376
12.581044,12.859645,9.262119,10.159083,9.069042
11.979981,11.1959095,9.875568,9.757667,9.175437
14.230468,10.889836,7.65651,11.226386,7.334967
12.7145815,10.037771,8.4093275,11.326185,7.89264
14.539927,9.894385,9.316336,10.949293,6.5580907
12.97495,11.354221,7.66141,8.356998,8.888413
13.918495,9.942942,8.254701,11.201278,6.569969
11.972062,9.437033,7.5965447,11.018272,9.428391
11.962049,9.216162,7.50311,11.040946,9.861739
13.07423,11.925264,8.404154,9.776561,8.146579
13.557725,10.168953,10.425684,10.28248,4.5443783
12.567914,11.269245,7.7305026,8.778243,8.548727
10.863571,9.759981,6.419881,8.610156,7.9100966
13.488084,10.008405,10.489073,10.330044,4.2571206
11.972694,10.605137,8.313572,9.309162,7.711773
11.996943,9.41158,7.579093,11.122173,9.547437
13.563286,10.161824,10.416696,10.288348,4.5405073
10.874216,9.726277,6.390026,9.105349,7.9180627
14.084421,11.221913,7.479015,11.1249275,7.387471
12.8393955,11.368251,7.893232,8.053477,9.177211
12.59138,12.077729,8.800519,9.879077,8.596432
12.993297,12.446397,8.79292,10.201717,8.942019
14.105332,11.184497,7.999669,10.457196,7.4006295
13.954567,10.502762,8.153886,11.388188,5.3050017
12.900748,12.184992,7.320675,10.861538,7.2690587
12.42933,9.734036,7.9286733,11.45237,8.40318
11.372782,11.904095,7.3166933,10.169267,7.390343
13.829219,10.614459,7.8758087,11.60211,5.336937
13.525131,10.844796,7.5398483,11.847814,5.468292
12.990884,12.462853,8.809605,10.200573,8.959412
13.033126,12.055429,7.728693,10.435318,7.863716
11.97157,11.198193,9.880391,9.75786,9.185397
12.379296,10.067414,9.11485,11.773159,9.628731
13.485956,10.011524,10.48538,10.340023,4.250243
13.22614,10.311047,9.662278,10.247156,7.479513
14.306523,9.766213,8.949288,10.662528,7.3971887
13.328996,10.025935,7.518576,11.878859,7.5099106
13.597101,10.299861,9.709792,9.966864,6.828803
14.045234,9.937204,9.1002445,10.983027,6.2251916
13.0015335,10.494284,9.634347,10.307254,7.1975737
13.161231,10.203684,10.79238,10.101638,4.9943547
14.011726,10.712852,7.6984873,11.30805,7.0566983
13.094934,10.357674,8.541309,11.4381075,7.20924
15.558843,9.812684,10.482382,11.150319,5.7767167
12.581138,10.228684,9.098517,11.639073,9.210467
12.833027,11.30925,7.6593323,8.126334,8.855191
14.245947,9.898783,8.99788,10.628468,7.3363376
14.261653,9.774026,8.926695,10.71951,7.327922
12.757448,11.201877,7.659148,8.117253,8.866271
12.792478,11.278359,7.7332063,8.222548,8.811777
13.7804365,9.596754,8.920977,10.906936,6.232431
